**射撃 [#pa0cb36d]
||120|CENTER:40|CENTER:40|CENTER:25|CENTER:25|CENTER:25|CENTER:25|LEFT:95||c
|~レア|CENTER:~名称|>|~価格|>|>|>|~性能変化|CENTER:~能力付加|~説明|
|~|~|~購入|~売却|~攻|~防|~速|~知|~|~|
|1|スリング|200|50|2|0|2|0|速度削減:2&br;遠隔攻撃|ゴムの力で弾を撃ち出す投石武器。|
|9|ウルフズベイン|64000|-|28|0|12|0|必殺増加:30&br;毒気放射:30|ガロード族の勇者が持っていたとされる射撃武器。|
|9|ホーリーブラスター|64000|-|40|0|-8|8|全力攻撃:75&br;十字攻撃|天使の砲兵が用いる特大の設置式大砲。|
|10|エーテルシュート|96000|-|24|36|-12|0|反撃倍加:3&br;堅守体躯:30|古代機械文明の産物である機兵主砲。|
|10|乖離双星|96000|-|28|0|12|8|多段攻撃:4&br;師団活性:10|偉大な錬金術師が作った双子銃。|
|10|死限の祭祀書|96000|-|32|0|0|16|虹の毒撃:20&br;強制異常:20|死者の王が持つ冥銃。|
|10|フェイルノート|96000|-|28|0|16|4|心核穿ち:60&br;大雷撃陣:12|錬金術の秘儀で造られた魔力を宿す魔導弓。|
|10|機巧弓ダインスレイヴ|96000|-|52|0|-4|0|カブト割:30&br;致命必殺:60|とあるドワーフの青年が開発した、武具を直接射出する特殊クロスボウ。|
|11|スコルソール|128000|-|40|0|20|0|乾坤一擲:80&br;飛行特攻:1|先住民族の英雄が持っていた弓と矢の魔装。|
|11|星銃アルタイル|128000|-|40|10|0|10|必殺増加:30&br;心核穿ち:50|命中した敵を消滅させるロストテクノロジーの光線銃。|
|11|死冥の砲典|128000|-|80|0|-20|0|魔術砲弾:25&br;砲撃結界:50|機械化された死者の王が持つカノン砲。|
|11|ガストラフェテス|128000|-|24|24|0|12|封印攻撃&br;対術結界:50|改良されたエーテルクロスボウ。後方支援性能が大幅に上昇している。|
|11|メルティ・ガトリング|128000|-|70|-20|10|0|多段攻撃:2&br;確率追撃:115|凶暴な竜少女が敵を殲滅する為に愛用する大型の連装銃。|
|12|天羽々矢|192000|-|52|0|20|0|次元斬撃:30&br;トレハン:20|伝承の大蛇を一撃のもとに射倒す事ができるという神弓。|
|12|ガイアプロメテア|192000|-|56|0|0|16|超強酸砲:10&br;腐敗の繭:20|異端の進化を遂げた生命を率いる長の持つ射撃兵器。|
|12|スーパーノヴァ|192000|-|100|0|-28|0|全域攻撃&br;無効喰い:20|全てを崩壊させる破壊の力を放出する超兵器。|
|12|造天使の神砲|192000|-|72|30|-30|0|多段攻撃:4&br;狂奔の牙:10|造天使が使用する高出力レーザー砲。|
|12|フラゲルム・デイ|192000|-|64|-8|16|0|全力攻撃:125&br;カブト割:35|魔界の戦乱を制した大王が持つ偉大な魔弓。|
|13|ブリーシンガメン|256000|-|64|0|10|10|戦術妨害:80&br;戦術補助:80|月の女神が持つ神弓。|
|13|重砲エキドナ|256000|-|114|0|-30|0|集約攻撃&br;カブト割:45|ナノマシンによってその場で生成される古代兵器。|
|13|プロメテウスΩ|256000|-|56|0|16|12|巨人狩り:50&br;確率追撃:125|エリキシル技術で作られた魔導超銃。|
|13|残月の神弓|256000|-|48|0|36|0|挑発行為&br;強制異常:40|堕ちた月の女神が使う魔弓。この世の全てを魅了する。|
|13|魔天使の愛弓|256000|-|70|-6|20|0|心核穿ち:150&br;魅了攻撃:2|魔天使となったかつての大王の武器が変質した姿。力の大きさは変わらない。|
|14|乖離双星・滅|320000|-|100|0|15|-15|次元斬撃:50&br;カブト割:50|邪悪な錬金術によって生まれた凶銃。|
|14|ソーマブラスター|320000|-|100|-16|0|16|暴走攻撃:100&br;巨人狩り:125|古代技術の英知の記章。その一撃は国を引き裂くと言われている。|
|14|始原の闇の塊|320000|-|150|0|0|-50|次元斬撃:40&br;軍団攻撃:2|闇を濃縮した手投げの破壊弾。着弾とともに世界を混沌で覆う。|
|14|ファルスカノン|320000|-|100|35|-35|0|多段攻撃:6&br;加速進化:10|闇に堕ちた造天使の暗黒砲。虚数エネルギーを溜め込み一気に放出する。|
|14|ブレスガン|320000|-|120|0|-20|0|全種特攻:1&br;竜の吐息:24|叛逆の人竜が使用する巨大な竜討兵器。|
&br;
