|~称号|>|>|>|~強化|~特攻|~追加スキル1|~追加スキル2|
|天を穿つ魔弓|45|10|20|0|神|次元斬撃[25]|巨人狩り[25]|
|千里を見通す瞳|35|20|10|10|超|必殺増加[25]|運命の輪[20]|
|大いなる愛の翼|40|25|10|0|男|多段攻撃[2]|全力攻撃[30]|
|画家になるのも悪くない|20|20|20|15|竜|四法結界[25]|決戦領域|
|※スズリ||||||||
|邪竜の宿命に抗う者|30|30|10|5|星|疾風迅雷[25]|正々堂々|
|黄金の爪の竜戦士|40|20|15|0|竜|吸血攻撃[10]|致命必殺[75]|
|吹雪が生んだ邪竜|50|5|20|0|騎|恐怖の瞳[20]|乾坤一擲[100]|
|人の温かみを知った少女|25|25|20|5|氷|終の奇跡[25]|連携攻撃[100]|
|モフモフポカポカ|15|45|10|5|雷|矮小体躯[40]|グルメ魂[8]|
|※ロキ||||||||
|炎の継ぎ手|35|20|15|5|炎|多段攻撃[2]|巨人狩り[25]|
|運命の鍵の継承者|30|20|10|15|神|次元斬撃[25]|運命の輪[15]|
|覇王の血族|40|25|10|0|超|確率追撃[50]|血の起源[20]|
|炎から孵った英雄|30|30|10|5|星|集約攻撃|回帰治癒[15]|
|一攫千金の財団リーダー|20|15|30|10|器|乾坤一擲[100]|撃破金運[10]|
|※ブリーデ||||||||
|春を導く女神|10|15|35|15|氷|日中赦免|行動増加[2]|
|妖精に愛される少女|20|10|20|25|氷|四法結界[40]|兵士運搬|
|守りたいその笑顔|20|10|20|25|人|戦意高揚[100]|リカバリ[30]|
|フリングホルニ砲弾|50|25|0|0|器|火炎砲弾[30]|受け流し[100]|
|みんなでバーベキュー|20|15|25|15|獣|正々堂々|グルメ魂[11]|
|※ダイン||||||||
|屈強なる副官|35|25|5|10|飛|巨人狩り[50]|攻撃布陣[50]|
|鍛冶師の血族|30|30|0|15|器|武具研磨[50]|確率追撃[50]|
|愛されボディ|25|50|0|0|獣|無形体躯[30]|連携攻撃[100]|
|故郷を守るもの|35|25|10|5|魔|乾坤一擲[75]|追撃阻止[50]|
|武器の大博覧会|75|0|0|0|騎|全域攻撃|無効喰い[20]|
|※ミザール||||||||
|天輪憑きの少女|25|10|25|5|星|星天活性[25]|終の奇跡[25]|
|旧支配者の幻影|30|20|20|5|神|超神術陣[6]|結界の歪[30]|
|造られし観測者|35|15|10|15|魔|危機管理[25]|四法結界[40]|
|赤い吹雪の亡霊|40|15|20|0|氷|超神術砲[6]|恐怖の瞳[40]|
|ジョニーとマリリン|30|25|20|0|蟲|蟲族活性[40]|腐敗の繭[25]|
|※その他||||||||
|ドロス山賊の親分|25|20|15|15|獣|確率追撃[50]|トレハン[24]|
|高潔なる王女|25|20|10|20|人|聖戦の導[15]|トレハン[20]|
|傾奇者の剣達者|40|25|10|0|騎|致命必殺[100]|挑発行為|
|常闇の翼|30|10|25|10|男|疾風迅雷[15]|魅了攻撃[2]|
|天界の裁定者|30|10|15|20|魔|リカバリ[25]|夜戦赦免|
|古の武王|45|15|15|0|死|カブト割[33]|死の軍勢[33]|
|妖刀に魅入られた|75|0|0|0|人|必殺増加[25]|反撃耐性[95]|
|深き叡智の長老|25|20|15|15|樹|追撃阻止[50]|背水の陣[30]|
|暴虐の獅子|40|35|0|0|神|範囲無効|魔族支配[20]|
|全てを懸けて再起する|35|25|10|5|氷|多段攻撃2|巨人狩り[25]|
|豊穣を司る|45|10|15|5|人|必殺増加[25]|致命必殺[50]|
