|~名称|~加護|~職業|>|>|>|>|~基本パラメータ|CENTER:~種族|CENTER:~特攻|~装備|~ラ&br;ン&br;ク|~コ&br;ス&br;ト|>|CENTER:~パッシブスキル|CENTER:~リーダー&br;スキル|CENTER:~アシスト&br;スキル|~内政&br;スキル|~スタンス|~備考|h
|ナラシンハ|火|ブレイダー|105|38|34|14|6|男魔獣騎|獣器樹蟲|両手&br;鎧|A|6|戦意高揚[50]&br;カブト割[30]&br;巨人狩り[50]&br;特攻防御[40]&br;|反撃耐性[60]&br;獣族活性[12]&br;勇猛果敢&br;狂奔の牙[12]&br;|集約攻撃&br;獣族指揮[10]|必殺増加[10]|軍事[3]|進撃|R3-歴&br;v1.04|
|ウォーウルフ|風|ブレイダー|110|42|30|42|7|女魔獣樹夜|人死獣夜|爪&br;法衣|A|7|心核穿ち[40]&br;夜行生物[50]&br;パリング[60]&br;イベイド[60]&br;|多段攻撃[2]&br;日中適応&br;攻撃指揮[10]&br;夜行活性[15]&br;|確率追撃[80]&br;狂戦士化[50]|必殺増加[10]|軍事[3]|進撃|R3-歴&br;v1.04|
|ガロードサムライ|風|ブレイダー|110|54|24|24|6|女魔獣樹騎|飛魔樹獣|片手&br;装飾|A|9|背水の陣[20]&br;反撃耐性[60]&br;側面攻撃[10]&br;カブト割[25]&br;|勇猛果敢&br;必殺増加[15]&br;パリング[40]&br;確率追撃[100]&br;|乾坤一擲[50]&br;攻撃支配[20]|カブト割[1]|軍事[3]|進撃|R4-英&br;v1.04|
|ベルゲルミル|水|ブレイダー|120|66|72|8|5|氷魔器|魔神炎超|爪&br;鎧|B|10|兵士運搬&br;全力攻撃[100]&br;狂奔の牙[12]&br;師団弱体[15]&br;|カブト割[30]&br;堅守体躯[40]&br;恐怖の瞳[30]&br;大氷撃陣[12]&br;|暴走攻撃[90]&br;狂戦士化[40]|反撃耐性[15]||進撃|R4-骸&br;v1.04|
|リュカオン|火|ブレイダー|110|63|54|40|8|女魔獣樹炎|神飛騎氷|両手&br;鎧|A|12|大火炎陣[10]&br;必殺増加[25]&br;致命必殺[75]&br;確率追撃[100]&br;|十字攻撃&br;攻撃指揮[15]&br;反撃耐性[60]&br;異常耐性&br;|狂奔の牙[12]&br;炎霊指揮[15]|確率追撃[10]|魔術[8]|進撃|R5-革&br;v1.04|
|ノーザンファイター|火|ブレイダー|120|50|42|20|5|男魔炎騎|神器獣星|両手&br;鎧|A|13|正々堂々&br;側面攻撃[10]&br;攻撃布陣[30]&br;勇猛果敢&br;|カブト割[45]&br;堅守体躯[45]&br;前進防御&br;パリング[55]&br;|不動の備[50]&br;特攻防御[90]|カブト割[1]|農業[8]|進撃|R5-鬼&br;v1.04|
|ギガースジェネラル|火|ブレイダー|125|75|80|8|7|男魔騎|魔器神騎|両手&br;鎧|C|14|自爆結界[65]&br;巨人狩り[50]&br;カブト割[30]&br;全力攻撃[40]&br;|乾坤一擲[15]&br;反撃耐性[80]&br;特攻防御[50]&br;堅守体躯[35]&br;|狂戦士化[30]&br;集約攻撃|攻撃指揮[1]|軍事[3]|進撃|R5-鬼&br;v1.04|
|バステト|土|ブレイダー|115|68|48|62|14|女魔神獣夜|男女神飛|爪&br;装飾|C|16|必殺増加[30]&br;グルメ魂[5]&br;大魔術陣[16]&br;撃破金運[8]&br;|多段攻撃[4]&br;側面攻撃[12]&br;トレハン[34]&br;魅了攻撃[2]&br;|運命の輪[10]&br;グルメ魂[7]|師団活性[5]|商業[24]|進撃|R6-帝&br;v1.04|
|バーラ|闇|ブレイダー|125|74|50|36|8|女魔海騎|神魔器竜騎|両手&br;鎧|B|21|攻撃布陣[40]&br;致命必殺[75]&br;必殺増加[30]&br;カブト割[50]&br;|確率追撃[100]&br;パリング[50]&br;堅守体躯[50]&br;狂奔の牙[15]&br;|全力攻撃[100]&br;十字攻撃|側面攻撃[5]|軍事[3]|進撃|R7-運&br;v1.04|
|ミノタウロス|火|ランサー|100|22|14|4|2|男魔獣|人獣器|両手&br;盾|S|2|反撃倍加[2]&br;巨人狩り[15]&br;反撃耐性[15]&br;城壁崩し[25]&br;|堅守体躯[15]&br;集約攻撃&br;狂奔の牙[5]&br;&br;|必殺増加[10]&br;狂戦士化[20]|全力攻撃[5]|農業[8]|乱戦|R1-獣&br;v1.04|
|マーマン|水|ランサー|95|14|16|6|4|男魔獣海氷|獣炎|爪&br;鎧|S|2|海洋活性[6]&br;貫通攻撃&br;水流放射[6]&br;致命必殺[25]&br;|堅守体躯[10]&br;自爆結界[15]&br;貫通無効&br;追撃阻止[10]&br;|自爆結界[25]&br;攻撃布陣[10]|反撃耐性[15]|商業[8]|乱戦|R1-異&br;v1.04|
|ゴブリンライダー|火|ランサー|90|18|10|25|4|男魔獣騎|人樹獣|片手&br;獣装|S|3|兵士運搬&br;側面攻撃[6]&br;撃破金運[3]&br;必殺増加[10]&br;|致命必殺[40]&br;奇襲戦法[10]&br;連携攻撃[15]&br;&br;|速度布陣[10]&br;多段攻撃[1]|兵士運搬|農業[12]|乱戦|R1-邪&br;v1.04|
|ホークナイト|風|ランサー|95|22|18|28|6|男魔獣飛騎|飛獣|斧槍&br;鎧|S|3|必殺増加[15]&br;奇襲警戒[12]&br;イベイド[35]&br;パリング[30]&br;|貫通攻撃&br;致命必殺[25]&br;夜戦適応&br;&br;|飛行活性[12]&br;多段攻撃[1]|イベイド[10]|商業[12]|乱戦|R2-空&br;v1.04|
|オーキシュマリーン|水|ランサー|95|26|20|12|6|女魔獣海|海獣蟲|斧槍&br;獣装|S|3|追撃阻止[15]&br;麻痺攻撃[2]&br;海洋活性[8]&br;貫通攻撃&br;|連携攻撃[15]&br;水流放射[8]&br;自爆結界[20]&br;&br;|強制異常[10]&br;遠隔攻撃|攻撃布陣[10]|商業[12]|乱戦|R2-海&br;v1.04|
|コボルドアシガル|土|ランサー|95|30|22|16|5|男魔獣樹|獣騎|斧槍&br;鎧|S|3|背水の陣[8]&br;奇襲戦法[8]&br;トレハン[10]&br;全力攻撃[20]&br;|連携攻撃[20]&br;パリング[30]&br;獣族活性[4]&br;前進防御&br;|先陣の誉&br;勇猛果敢|連携攻撃[5]|農業[12]|乱戦|R2-陸&br;v1.04|
|ガロードランサー|風|ランサー|95|34|20|24|8|女魔獣樹|飛獣蟲|斧槍&br;鎧|S|4|攻撃布陣[16]&br;勇猛果敢&br;側面攻撃[10]&br;扇形攻撃&br;|樹霊活性[12]&br;トレハン[14]&br;撃破金運[5]&br;夜戦適応&br;|確率追撃[50]&br;樹霊活性[12]|攻撃布陣[10]|農業[12]|乱戦|R2-闘&br;v1.04|
|功夫マシラ|火|ランサー|100|30|24|28|7|女魔獣炎樹|氷器樹蟲|両手&br;鎧|S|4|必殺増加[20]&br;攻撃布陣[10]&br;火炎放射[12]&br;パリング[55]&br;|多段攻撃[1]&br;側面攻撃[10]&br;防御削減[10]&br;樹霊弱体[10]&br;|炎霊活性[12]&br;カブト割[15]|側面攻撃[5]|農業[8]|乱戦|R2-闘&br;v1.04|
|ケルピーライダー|水|ランサー|105|36|22|32|6|女魔獣氷海騎|炎器海竜|斧槍&br;獣装|S|5|水流砲弾[4]&br;カブト割[25]&br;貫通攻撃&br;巨人狩り[40]&br;|反撃耐性[50]&br;特攻防御[50]&br;海洋活性[15]&br;兵士運搬&br;|異常耐性&br;速度布陣[25]|連携攻撃[5]|商業[16]|乱戦|R2-幻&br;v1.04|
|リザードソルジャー|水|ランサー|100|34|25|10|5|男魔獣海|獣海蟲|斧槍&br;鎧|A|5|海洋活性[10]&br;貫通攻撃&br;竜鱗守護[40]&br;カブト割[30]&br;|自爆結界[25]&br;側面攻撃[6]&br;反撃耐性[50]&br;報復の牙[14]&br;|背水の陣[25]&br;心核穿ち[15]|攻撃布陣[10]|商業[8]|乱戦|R2-闘&br;v1.04|
|オーキシュライダー|火|ランサー|100|32|20|30|6|女魔獣騎飛器|氷飛海蟲|斧槍&br;装飾|S|5|側面攻撃[8]&br;貫通攻撃&br;挑発行為&br;速度布陣[16]&br;|トレハン[14]&br;兵士運搬&br;奇襲戦法[14]&br;器兵活性[12]&br;|撃破金運[6]&br;火炎砲弾[5]|兵士運搬|工業[16]|乱戦|R2-闘&br;v1.04|
|リザードジェネラル|水|ランサー|105|38|32|14|6|男魔獣海騎|獣海蟲竜|斧槍&br;獣装|A|6|海洋活性[12]&br;扇形攻撃&br;側面攻撃[10]&br;竜鱗守護[65]&br;|必殺増加[25]&br;攻撃布陣[15]&br;堅守体躯[30]&br;致命必殺[75]&br;|海洋指揮[10]&br;反撃耐性[30]|攻撃布陣[10]|軍事[3]|乱戦|R3-竜&br;v1.04|
|ガロードインペイラー|風|ランサー|110|48|28|36|8|女魔獣樹|飛獣蟲毒|斧槍&br;鎧|S|8|必殺増加[35]&br;勇猛果敢&br;側面攻撃[12]&br;十字攻撃&br;|反撃耐性[90]&br;樹霊活性[20]&br;トレハン[22]&br;夜戦適応&br;|撃破金運[7]&br;樹霊指揮[12]|側面攻撃[5]|農業[16]|乱戦|R3-歴&br;v1.04|
|ラビナスハーベスター|土|ランサー|110|52|34|40|7|女魔獣樹|人獣樹蟲毒|斧槍&br;法衣|A|10|攻撃支配[20]&br;必殺増加[25]&br;致命必殺[100]&br;側面攻撃[10]&br;|心核穿ち[25]&br;特攻防御[60]&br;矮小体躯[30]&br;扇形攻撃&br;|集約攻撃&br;闇雲攻撃|カブト割[1]|農業[16]|乱戦|R4-英&br;v1.04|
|リザードロード|水|ランサー|120|66|51|25|12|男魔獣海騎|獣海蟲竜毒|斧槍&br;鎧|B|12|海洋支配[16]&br;十字攻撃&br;海洋指揮[10]&br;竜王守護[60]&br;|異常耐性&br;特攻防御[50]&br;堅守体躯[35]&br;巨人狩り[75]&br;|大水流陣[12]&br;乾坤一擲[50]|攻撃布陣[10]|軍事[3]|乱戦|R5-王&br;v1.04|
|クイーン・アクエリア|水|ランサー|120|65|68|48|16|女魔獣海氷|男女海炎|斧槍&br;装飾|C|17|砲撃結界[50]&br;自爆結界[65]&br;巨人狩り[35]&br;必殺増加[35]&br;|致命必殺[100]&br;海洋支配[30]&br;至高の盾[50]&br;全域攻撃&br;|カブト割[25]&br;超水流陣[7]|開幕砲弾[5]|魔術[20]|乱戦|R6-帝&br;Lv4全↑&br;v1.04|
|ムスペルドラグーン|火|ランサー|130|75|54|30|5|女魔炎騎竜飛|氷竜飛神星|斧槍&br;獣装|D|20|竜の吐息[8]&br;全域攻撃&br;炎霊活性[25]&br;巨人狩り[25]&br;|カブト割[75]&br;堅守体躯[50]&br;竜王守護[50]&br;兵士運搬&br;|暴走攻撃[100]&br;心核穿ち[25]|カブト割[1]|軍事[3]|乱戦|R7-運&br;v1.04|
|ヒミングレーヴァ|闇|ランサー|125|80|48|36|10|女魔海騎|神魔飛竜星|両手&br;斧槍|B|24|必殺増加[40]&br;十字攻撃&br;側面攻撃[20]&br;英雄覇気[12]&br;|カブト割[50]&br;神魔体躯[50]&br;確率追撃[100]&br;正々堂々&br;|無効喰い[15]&br;疾風迅雷[10]|連携攻撃[5]|軍事[3]|乱戦|R8-創&br;Lv3全↑&br;v1.04|
|コボルドハンター|風|シューター|80|6|3|12|4|男魔獣樹|飛|射撃&br;道具|S|1|速度布陣[4]&br;遠隔攻撃&br;奇襲警戒[4]&br;樹霊活性[3]&br;|撃破金運[1]&br;撃破金運[1]&br;夜戦適応&br;&br;|側面攻撃[5]&br;毒化攻撃[5]|速度布陣[10]|農業[12]|計略|R1-獣&br;v1.04|
|マーメイド|水|シューター|85|4|8|16|9|女魔獣海氷|男海炎|装飾&br;道具|S|1|扇形攻撃&br;遠隔攻撃&br;攻撃削減[10]&br;速度削減[10]&br;|知力削減[10]&br;水流放射[5]&br;戦意高揚[25]&br;追撃阻止[15]&br;|攻撃弱体[10]&br;戦術妨害[50]|戦意高揚[20]|魔術[12]|計略|R1-異&br;v1.04|
|ホークメイジ|風|シューター|90|30|12|34|12|女魔獣飛|飛海獣|杖&br;法衣|S|4|知力布陣[10]&br;奇襲警戒[10]&br;飛行活性[8]&br;魔術放射[12]&br;|遠隔攻撃&br;対術結界[20]&br;夜戦適応&br;術式増幅[8]&br;|術式増幅[8]&br;魔術砲弾[4]|術撃放射[15]|魔術[12]|計略|R2-空&br;v1.04|
|ゴブリンバルーン|火|シューター|90|36|10|40|6|女魔獣飛|器海氷|射撃&br;道具|S|4|火炎砲弾[4]&br;火炎放射[12]&br;兵士運搬&br;奇襲警戒[20]&br;|遠隔攻撃&br;イベイド[30]&br;全力攻撃[40]&br;自決自爆[100]&br;|扇形攻撃&br;砲撃結界[30]|開幕砲弾[5]|工業[12]|計略|R2-空&br;v1.04|
|メジェド|光闇|シューター|95|40|16|28|10|神死夜超|神死|射撃&br;法衣|S|5|夜行活性[12]&br;師団弱体[12]&br;対術吸収[50]&br;遠隔攻撃&br;|日中適応&br;無形体躯[40]&br;貫通無効&br;大魔術陣[8]&br;|恐怖の瞳[30]&br;運命の輪[10]|開幕砲弾[5]||計略|R2-幻&br;v1.04|
|コボルドクノイチ|土|シューター|90|32|14|48|5|女魔獣樹|人獣男|射撃&br;法衣|S|5|戦術妨害[20]&br;必殺増加[10]&br;麻痺攻撃[2]&br;奇襲戦法[10]&br;|遠隔攻撃&br;イベイド[40]&br;多段攻撃[1]&br;夜戦適応&br;|矮小体躯[30]&br;魅了攻撃[2]|確率追撃[10]|商業[8]|計略|R2-幻&br;v1.04|
|カウガール|火|シューター|100|36|20|30|7|女魔獣炎|飛樹獣氷|射撃&br;装飾|S|5|危機管理[15]&br;獣族支配[8]&br;必殺増加[20]&br;確率追撃[100]&br;|遠隔攻撃&br;イベイド[60]&br;連携攻撃[25]&br;撃破金運[5]&br;|男性活性[8]&br;致命必殺[35]|遠隔攻撃|農業[16]|計略|R3-巨&br;v1.04|
|オーキシュガンナー|土|シューター|105|44|18|32|6|女魔獣騎器|人飛樹海|射撃&br;装飾|S|5|火炎砲弾[7]&br;奇襲警戒[20]&br;遠隔攻撃&br;カブト割[40]&br;|確率追撃[75]&br;必殺増加[35]&br;戦術補助[50]&br;側面無効&br;|乾坤一擲[30]&br;狂奔の牙[12]|必殺増加[10]|軍事[4]|計略|R3-歴&br;v1.04|
|コボルドケミスト|水|シューター|95|28|14|36|14|女魔獣樹毒|獣樹器蟲毒|射撃&br;道具|S|6|大毒気陣[10]&br;遠隔攻撃&br;十字攻撃&br;毒性支配[15]&br;|毒気砲弾[6]&br;解毒治療&br;虹の毒撃[8]&br;強制異常[15]&br;|強酸砲弾[8]&br;腐敗の繭[20]|大毒気陣[5]|魔術[14]|計略|R3-造&br;v1.04|
|ホルス|風|シューター|105|50|25|42|8|男魔獣飛夜騎|獣海飛|片手&br;射撃|A|7|奇襲戦法[10]&br;大雷撃陣[8]&br;奇襲警戒[21]&br;遠隔攻撃&br;|遠隔無効&br;飛行支配[14]&br;側面攻撃[12]&br;イベイド[55]&br;|多段攻撃[2]&br;側面無効|側面攻撃[5]|魔術[12]|計略|R3-歴&br;v1.04|
|ガロードスナイパー|風|シューター|105|56|24|38|7|女魔獣樹|竜獣海飛|射撃&br;装飾|A|9|火炎砲弾[5]&br;致命必殺[100]&br;必殺増加[25]&br;多段攻撃[2]&br;|遠隔攻撃&br;トレハン[26]&br;樹霊活性[15]&br;貫通攻撃&br;|乾坤一擲[35]&br;集約攻撃|必殺増加[10]|工業[16]|計略|R4-英&br;v1.04|
|ノーザンレンジャー|火|シューター|120|48|28|42|8|男魔炎樹|神樹蟲飛|射撃&br;法衣|A|12|奇襲警戒[20]&br;致命必殺[100]&br;必殺増加[25]&br;遠隔攻撃&br;|多段攻撃[3]&br;堅守体躯[25]&br;扇形攻撃&br;速度布陣[36]&br;|罠の領域&br;集約攻撃|イベイド[10]|商業[8]|計略|R5-鬼&br;v1.04|
|メジェドちゃん|光闇|シューター|110|78|34|53|12|女神死夜超|男神死飛|杖&br;道具|B|17|夜行指揮[15]&br;師団弱体[20]&br;対術吸収[50]&br;遠隔攻撃&br;|大魔術陣[16]&br;無形体躯[50]&br;十字無効&br;トレハン[34]&br;|対術吸収[25]&br;運命の輪[10]|イベイド[10]|魔術[16]|計略|R6-帝&br;Lv5全↑&br;v1.04|
|ウィズ|闇|シューター|120|65|30|65|10|女魔海騎|神魔飛獣蟲|射撃&br;道具|B|19|凍傷気流[20]&br;致命必殺[200]&br;必殺増加[30]&br;次元斬撃[35]&br;|多段攻撃[4]&br;堅守体躯[40]&br;全域攻撃&br;師団支配[30]&br;|全力攻撃[100]&br;集約攻撃|心核穿ち[5]|農業[12]|計略|R7-刹&br;v1.04|
|サハギン|水|キャスター|80|12|3|8|5|男魔獣海|炎|杖&br;法衣|S|1|水流放射[5]&br;遠隔攻撃&br;海洋活性[6]&br;炎霊弱体[6]&br;|自爆結界[10]&br;水流砲弾[2]&br;&br;&br;|海洋活性[6]&br;防御削減[5]|術撃放射[15]|商業[8]|計略|R1-異&br;v1.04|
|カアス|水|キャスター|80|18|4|3|12|男魔獣海|人獣|杖&br;法衣|S|1|魔術放射[4]&br;遠隔攻撃&br;撃破金運[2]&br;万能抗体[50]&br;|対術結界[10]&br;毒気放射[4]&br;&br;&br;|防御弱体[6]&br;リカバリ[10]|術撃放射[15]|魔術[8]|計略|R1-邪&br;v1.04|
|コボルドメイジ|火|キャスター|90|24|8|10|14|女魔獣樹炎|樹海氷|杖&br;道具|S|4|樹霊活性[8]&br;自爆結界[20]&br;対術吸収[50]&br;炎霊活性[10]&br;|専守防衛&br;火炎放射[14]&br;資源工面[15]&br;砲撃結界[20]&br;|火炎砲弾[8]&br;術式増幅[10]|術撃放射[15]|魔術[16]|計略|R2-陸&br;v1.04|
|カアスマドモアゼル|水|キャスター|95|32|11|12|18|女魔獣海|人獣神|杖&br;装飾|S|6|師団弱体[12]&br;術式増幅[10]&br;遠隔攻撃&br;魅了攻撃[2]&br;|対術結界[25]&br;対術障壁[50]&br;大魔術陣[5]&br;大毒気陣[5]&br;|標的後逸&br;リカバリ[25]|大毒気陣[5]|魔術[16]|計略|R3-凶&br;v1.04|
|ケット・シー|光|キャスター|100|36|16|15|16|女魔獣樹|男女竜|杖&br;道具|A|10|側面無効&br;封印攻撃&br;解除攻撃&br;遠隔攻撃&br;|トレハン[30]&br;対術結界[35]&br;大魔術陣[14]&br;戦術妨害[35]&br;|撃破金運[8]&br;戦意高揚[50]|知力布陣[5]|商業[20]|計略|R4-賢&br;v1.04|
|エルダーギガース|風|キャスター|115|70|35|12|22|男魔雷|飛器蟲|杖&br;法衣|B|13|致命必殺[100]&br;全域攻撃&br;遠隔攻撃&br;大雷撃陣[16]&br;|堅守体躯[35]&br;対術結界[40]&br;異常耐性&br;雷撃砲弾[6]&br;|城壁構築[100]&br;雷霊活性[15]|開幕砲弾[5]|魔術[20]|計略|R5-使&br;v1.04|
|アウルゲルミル|闇|キャスター|120|80|55|22|20|魔夜|人魔神超|杖&br;法衣|C|15|次元斬撃[20]&br;十字攻撃&br;大魔術陣[20]&br;対術結界[35]&br;|魔族医療[15]&br;堅守体躯[40]&br;対術反射[15]&br;魔術砲弾[8]&br;|闇属指揮[10]&br;砲撃結界[40]|開幕砲弾[5]||計略|R6-帝&br;v1.04|
|フロン|闇|キャスター|120|36|35|48|20|女魔海飛騎|飛魔男|杖&br;法衣|B|20|竜の吐息[12]&br;封印攻撃&br;次元障壁[40]&br;平等治癒[12]&br;|次元斬撃[25]&br;堅守体躯[40]&br;四法結界[30]&br;絶対治療&br;|砲撃結界[70]&br;軍団弱体[20]|開幕砲弾[5]|魔術[16]|計略|R7-運&br;Lv3蘇生&br;v1.04|
|オークガード|土|ガーダー|80|1|12|2|3|男魔獣騎|女|片手&br;盾|S|1|防御布陣[4]&br;反撃倍加[1]&br;城壁構築[15]&br;パリング[10]&br;|受け流し[10]&br;専守防衛&br;&br;&br;|不動の備[15]&br;グルメ魂[2]|防御布陣[10]|農業[8]|防備|R1-獣&br;v1.04|
|ホルスタウロス|土|ガーダー|100|30|37|10|12|女魔獣騎|樹器|斧槍&br;盾|S|5|反撃倍加[3]&br;貫通無効&br;獣族活性[8]&br;堅守体躯[20]&br;|防御布陣[12]&br;専守防衛&br;ブロック[20]&br;特攻防御[25]&br;|パリング[30]&br;前進防御|パリング[10]|農業[20]|防備|R3-巨&br;v1.04|
|トロール|土|ガーダー|115|38|30|3|3|男魔|人樹蟲|両手&br;盾|S|5|防御布陣[4]&br;対術障壁[50]&br;異常耐性&br;堅守体躯[30]&br;|反撃倍加[4]&br;前進防御&br;防御削減[15]&br;城壁崩し[50]&br;|必殺増加[25]&br;狂戦士化[15]|堅守体躯[1]|農業[4]|防備|R3-巨&br;v1.04|
|オーガ|火|ガーダー|110|42|44|6|3|男魔炎|女樹蟲|爪&br;鎧|A|7|致命耐性[50]&br;反撃倍加[5]&br;パリング[30]&br;防御布陣[5]&br;|前進防御&br;堅守体躯[35]&br;必殺増加[25]&br;狂奔の牙[12]&br;|特攻防御[30]&br;狂戦士化[20]|堅守体躯[1]||防備|R3-凶&br;v1.04|
|オークリーダー|土|ガーダー|115|38|46|12|8|男魔獣騎|女騎|両手&br;盾|A|8|防御布陣[12]&br;反撃倍加[3]&br;前進防御&br;ブロック[30]&br;|特攻防御[40]&br;専守防衛&br;扇形無効&br;勇猛果敢&br;|獣族活性[10]&br;狂戦士化[15]|防御布陣[10]|農業[12]|防備|R4-英&br;v1.04|
|アーマートロール|土|ガーダー|120|44|50|1|4|男魔騎|人樹蟲|両手&br;鎧|A|8|防御布陣[6]&br;巨人狩り[25]&br;異常耐性&br;堅守体躯[40]&br;|反撃倍加[7]&br;パリング[40]&br;攻撃削減[15]&br;必殺耐性[35]&br;|専守防衛&br;狂戦士化[25]|必殺耐性[5]|農業[4]|防備|R4-英&br;v1.04|
|コボルドパラディン|光|ガーダー|110|28|54|12|5|女魔獣樹騎|魔竜人|片手&br;盾|S|8|勇猛果敢&br;反撃倍加[4]&br;前進防御&br;専守防衛&br;|防御布陣[10]&br;堅守体躯[25]&br;十字無効&br;至高の盾[25]&br;|受け流し[25]&br;側面無効|特攻防御[5]|工業[8]|防備|R4-英&br;v1.04|
|ギガースナイト|火|ガーダー|120|48|55|10|7|男魔騎|人騎神|斧槍&br;盾|A|9|必殺増加[40]&br;パリング[30]&br;防御布陣[16]&br;必殺耐性[30]&br;|堅守体躯[40]&br;反撃倍加[8]&br;前進防御&br;専守防衛&br;|遠隔無効&br;狂戦士化[20]|必殺耐性[5]|工業[8]|防備|R5-王&br;v1.04|
|ムスペルプリズナー|闇|ガーダー|125|24|42|6|1|男魔|人獣蟲|獣装&br;装飾|A|11|扇形無効&br;反撃倍加[4]&br;防御布陣[20]&br;専守防衛&br;|恐怖の瞳[10]&br;堅守体躯[35]&br;前進防御&br;特攻防御[40]&br;|ブロック[25]&br;必殺増加[25]|必殺耐性[5]|農業[4]|防備|R5-使&br;v1.04|
|ミルクイーン|水|ガーダー|110|32|72|6|10|女魔獣海氷|炎海男|斧槍&br;盾|B|11|海洋活性[12]&br;全体治癒[8]&br;防御布陣[24]&br;専守防衛&br;|大水流陣[5]&br;パリング[40]&br;堅守体躯[30]&br;必殺耐性[60]&br;|特攻防御[35]&br;ブロック[30]|パリング[10]|商業[12]|防備|R5-王&br;v1.04|
|ガロードエスクード|風|ガーダー|115|45|68|24|10|女魔獣樹騎|魔神器|両手&br;盾|A|13|樹霊活性[15]&br;特攻防御[35]&br;ブロック[40]&br;専守防衛&br;|防御布陣[16]&br;十字無効&br;異常耐性&br;堅守体躯[30]&br;|側面無効&br;戦術結界[45]|必殺耐性[5]|軍事[3]|防備|R6-帝&br;v1.04|
|ナラシンハジェネラル|火|ガーダー|125|54|75|18|12|男魔獣炎騎|獣神樹蟲氷|両手&br;鎧|B|15|必殺増加[35]&br;巨人狩り[35]&br;専守防衛&br;全域無効&br;|防御布陣[24]&br;堅守体躯[45]&br;反撃倍加[9]&br;特攻防御[35]&br;|夜戦適応&br;獣族指揮[15]|カブト割[1]|軍事[3]|防備|R6-帝&br;v1.04|
